title,phone,real_email,socials,rating
Вкусно — и точка,,,"['', '', '', '', '', '']",2.8
Вкусно — и точка,,,"['', '', '', '', '', '']",2.7
Вкусно — и точка,,,"['', '', '', '', '', '']",2.7
Вкусно — и точка,,,"['', '', '', '', '', '']",2.4
Вкусно — и точка,,,"['', '', '', '', '', '']",1.9
Вкусно — и точка,,,"['', '', '', '', '', '']",2.8
Вкусно — и точка,,,"['', '', '', '', '', '']",4.8
Вкусно — и точка,,,"['', '', '', '', '', '']",2
Вкусно — и точка,,,"['', '', '', '', '', '']",2.4
Вкусно — и точка,,,"['', '', '', '', '', '']",1.1
Вкусно — и точка,,,"['', '', '', '', '', '']",2
Вкусно — и точка,,,"['', '', '', '', '', '']",2.5
Вкусно — и точка,{'+7 (846) 927‒12‒13'},,"['ВКонтакте: https://vk.com/vkusno_itochka', 'Одноклассники: https://ok.ru/group/55935173918947', 'Одноклассники: https://ok.ru/vkusnoitochka', 'Telegram: https://t.me/vit_russia', '', '']",2.5
Вкусно — и точка,,,"['', '', '', '', '', '']",3
Вкусно — и точка,,,"['', '', '', '', '', '']",3.1
Вкусно — и точка,,,"['', '', '', '', '', '']",2.4
Вкусно — и точка,,,"['', '', '', '', '', '']",4
Вкусно — и точка,,,"['', '', '', '', '', '']",1.8
Вкусно — и точка,,,"['', '', '', '', '', '']",2.9
Вкусно — и точка,,,"['', '', '', '', '', '']",2.2
Вкусно — и точка,,,"['', '', '', '', '', '']",
Вкусно — и точка,,,"['', '', '', '', '', '']",1.8
Вкусно — и точка,,,"['', '', '', '', '', '']",2.9
Вкусно — и точка,,,"['', '', '', '', '', '']",2.2
Вкусно — и точка,,,"['', '', '', '', '', '']",2.8
Вкусно — и точка,,,"['', '', '', '', '', '']",2.7
Вкусно — и точка,,,"['', '', '', '', '', '']",2.7
Вкусно — и точка,,,"['', '', '', '', '', '']",2.4
Вкусно — и точка,,,"['', '', '', '', '', '']",1.9
Вкусно — и точка,,,"['', '', '', '', '', '']",2.8
Вкусно — и точка,,,"['', '', '', '', '', '']",4.8
Вкусно — и точка,,,"['', '', '', '', '', '']",2
Вкусно — и точка,,,"['', '', '', '', '', '']",2.4
Вкусно — и точка,,,"['', '', '', '', '', '']",1.1
Вкусно — и точка,,,"['', '', '', '', '', '']",2
Вкусно — и точка,,,"['', '', '', '', '', '']",2.5
Вкусно — и точка,,,"['', '', '', '', '', '']",1.7
Вкусно — и точка,,,"['', '', '', '', '', '']",3
Вкусно — и точка,,,"['', '', '', '', '', '']",3.1
Вкусно — и точка,,,"['', '', '', '', '', '']",2.4
Вкусно — и точка,,,"['', '', '', '', '', '']",4
Вкусно — и точка,,,"['', '', '', '', '', '']",1.8
Вкусно — и точка,,,"['', '', '', '', '', '']",2.9
Вкусно — и точка,,,"['', '', '', '', '', '']",2.2
Вкусно — и точка,,,"['', '', '', '', '', '']",
Вкусно — и точка,,,"['', '', '', '', '', '']",1.8
Вкусно — и точка,,,"['', '', '', '', '', '']",2.9
Вкусно — и точка,,,"['', '', '', '', '', '']",2.2
