title,phone,real_email,socials,rating
re:Bro,{'+7‒927‒901‒33‒77'},,"['ВКонтакте: https://clck.ru/37cXbG', 'YouTube: https://clck.ru/37cXbM', 'WhatsApp: https://clck.ru/37cXbT', 'Viber: https://clck.ru/37cXbX', 'Telegram: https://clck.ru/37cXbb']",5
Hi Store,,,"['ВКонтакте: https://clck.ru/37cXbo', 'WhatsApp: https://clck.ru/37cXbt', 'Viber: https://clck.ru/37cXbw', 'Telegram: https://clck.ru/37cXbx']",4.8
Керхер Центр,,,"['ВКонтакте: https://clck.ru/37cXc6', 'Twitter: https://clck.ru/37cXc7', 'YouTube: https://clck.ru/37cXcD', 'Одноклассники: https://clck.ru/37cXcJ', 'WhatsApp: https://clck.ru/37cXcL']",4.4
Nice Case,,,"['ВКонтакте: https://clck.ru/37cXcW', 'Twitter: https://clck.ru/37cXcX', 'YouTube: https://clck.ru/37cXcc', 'WhatsApp: https://clck.ru/37cXcg', 'Viber: https://clck.ru/37cXcj', 'Telegram: https://clck.ru/37cXcn']",4.9
Well Geek,,,"['ВКонтакте: https://clck.ru/37cXct', 'WhatsApp: https://clck.ru/37cXcu', 'Viber: https://clck.ru/37cXcy']",5
Уценка.ру,,,"['ВКонтакте: https://clck.ru/37cXdE', 'Одноклассники: https://clck.ru/37cXdG', 'WhatsApp: https://clck.ru/37cXdJ', 'Viber: https://clck.ru/37cXdR']",4
PLAZA,,,"['ВКонтакте: https://clck.ru/37cXdY', 'WhatsApp: https://clck.ru/37cXde', 'Viber: https://clck.ru/37cXdg']",4.5
Ситилинк,,,"['ВКонтакте: https://clck.ru/37cXdt', 'YouTube: https://clck.ru/37cXdu', 'Одноклассники: https://clck.ru/37cXdw', 'Telegram: https://clck.ru/37cXe3']",2.8
КотБегемот,,,"['ВКонтакте: https://clck.ru/37cXeE', 'WhatsApp: https://clck.ru/37cXeH', 'Viber: https://clck.ru/37cXeK']",3.9
Stix63.ru,,,"['YouTube: https://clck.ru/37cXeY', 'ВКонтакте: https://clck.ru/37cXed', 'WhatsApp: https://clck.ru/37cXef', 'Viber: https://clck.ru/37cXej', 'Telegram: https://clck.ru/37cXeo']",5
pro:Store,,,"['ВКонтакте: https://clck.ru/37cXeu', 'WhatsApp: https://clck.ru/37cXev', 'Viber: https://clck.ru/37cXf3']",5
Леонардо,,,"['YouTube: https://clck.ru/37cXfG', 'Одноклассники: https://clck.ru/37cXfK', 'ВКонтакте: https://clck.ru/37cXfN', 'pinterest: https://clck.ru/37cXfQ', 'Telegram: https://clck.ru/37cXfT']",4.7
Магазин бытовой техники,,,['Viber: https://clck.ru/37cXfe'],4.6
MaxMarket,{'8‒800‒550‒57‒28'},,"['ВКонтакте: https://clck.ru/37cXft', 'Telegram: https://clck.ru/37cXfu']",Реклама
Reload,,,"['ВКонтакте: https://clck.ru/37cXgG', 'WhatsApp: https://clck.ru/37cXgN', 'Viber: https://clck.ru/37cXgX']",4.9
Сонька,,,"['ВКонтакте: https://clck.ru/37cXgy', 'WhatsApp: https://clck.ru/37cXh4', 'Viber: https://clck.ru/37cXh7', 'Telegram: https://clck.ru/37cXh8', 'Telegram: https://clck.ru/37cXhD', 'Telegram: https://clck.ru/37cXhH']",4.9
Фотослон,{'+7‒937‒664‒72‒07'},,"['ВКонтакте: https://clck.ru/37cXhN', 'Viber: https://clck.ru/37cXhR']",Реклама
Кошелёкъ,,,"['ВКонтакте: https://clck.ru/37cXhd', 'WhatsApp: https://clck.ru/37cXhf', 'Viber: https://clck.ru/37cXhg', 'Telegram: https://clck.ru/37cXhi']",Реклама
МегаФон-Yota,,,"['ВКонтакте: https://clck.ru/37cXho', 'Twitter: https://clck.ru/37cXht', 'YouTube: https://clck.ru/37cXhu', 'Одноклассники: https://clck.ru/37cXhw', 'Telegram: https://clck.ru/37cXhy']",2.5
Yardi Store,,,"['ВКонтакте: https://clck.ru/37cXi5', 'YouTube: https://clck.ru/37cXi7', 'WhatsApp: https://clck.ru/37cXiA', 'Telegram: https://clck.ru/37cXiE']",5
Family Foto,,,['Viber: https://clck.ru/37cXiQ'],4.2
MyStore-IRemont,,,"['ВКонтакте: https://clck.ru/37cXih', 'WhatsApp: https://clck.ru/37cXij', 'Viber: https://clck.ru/37cXin', 'Telegram: https://clck.ru/37cXip']",4.7
Честноцен,,,['ВКонтакте: https://clck.ru/37cXj4'],5
РД САМАРА,,evgeny-rdsamara@mail.ru,[],Реклама
Леруа Мерлен,,,"['LinkedIn: https://clck.ru/37cXjp', 'YouTube: https://clck.ru/37cXjs', 'Одноклассники: https://clck.ru/37cXjv']",3
A-store63,"{'+7 (846) 922‒62‒60', '+7 (846) 922‒95‒60', '8‒800‒250‒41‒63'}",,"['ВКонтакте: https://clck.ru/37cXk8', 'WhatsApp: https://clck.ru/37cXkB', 'Viber: https://clck.ru/37cXkH', 'Telegram: https://clck.ru/37cXkK']",4.5
М.Видео,,,"['ВКонтакте: https://clck.ru/37cXkT', 'Одноклассники: https://clck.ru/37cXkW', 'Telegram: https://clck.ru/37cXkY']",3.6
DNS,,,"['Twitter: https://clck.ru/37cXm2', 'Telegram: https://clck.ru/37cXm5']",2.8
Apple store,{'+7 (846) 233‒51‒69'},,"['ВКонтакте: https://clck.ru/37cXmi', 'YouTube: https://clck.ru/37cXmn', 'Telegram: https://clck.ru/37cXmq']",4.9
KStore,"{'+7 (846) 989‒11‒48', '+7‒937‒989‒11‒48'}",,"['ВКонтакте: https://clck.ru/37cXn9', 'YouTube: https://clck.ru/37cXnF', 'WhatsApp: https://clck.ru/37cXnK', 'Viber: https://clck.ru/37cXnP', 'Telegram: https://clck.ru/37cXnV']",4.4
